Reynold,Mach,Alpha,cl,cd,cdp,cm
10000.0,0.1,12.200000000000001,0.5608,0.14007,0.118,-0.050300000000000004
10000.0,0.1,12.5,0.5715,0.14386999999999997,0.12197999999999999,-0.05220000000000001
10000.0,0.1,12.799999999999999,0.582,0.14772,0.126,-0.05420000000000001
10000.0,0.1,13.1,0.5927,0.15162,0.13008,-0.0563
10000.0,0.1,13.400000000000002,0.6033,0.15556142857142857,0.13420999999999997,-0.0584
10000.0,0.1,13.7,0.6141,0.15951,0.13833,-0.0606
10000.0,0.1,14.0,0.6249000000000001,0.16345,0.14243000000000003,-0.06269999999999999
10000.0,0.1,14.299999999999999,0.6358,0.16744,0.14657999999999996,-0.0649
10000.0,0.1,14.6,0.6469,0.17144,0.15071,-0.0671
10000.0,0.1,14.9,0.658,0.17543,0.15486,-0.0694
10000.0,0.1,15.200000000000001,0.6691000000000001,0.1794,0.15898,-0.0716
10000.0,0.1,15.5,0.6829999999999999,0.18408142857142856,0.16383,-0.0746
10000.0,0.1,15.799999999999999,0.7147,0.19363,0.17366,-0.0821
10000.0,0.1,16.1,0.7388,0.20036,0.18061,-0.0875
10000.0,0.1,16.400000000000002,0.7576,0.20439000000000002,0.18483000000000002,-0.09140000000000001
10000.0,0.1,16.7,0.7761,0.20930999999999994,0.18992000000000003,-0.09509999999999999
10000.0,0.1,17.0,0.7933000000000001,0.21371125000000002,0.1945,-0.0983
10000.0,0.1,17.3,0.8123000000000002,0.21977285714285716,0.20073000000000002,-0.1018
10000.0,0.1,17.599999999999998,0.8263999999999999,0.22295,0.20405000000000004,-0.10430000000000002
10000.0,0.1,17.9,0.8412,0.22672999999999996,0.20797,-0.1068
10000.0,0.1,18.2,0.8559,0.23088,0.21228,-0.1092
10000.0,0.1,18.5,0.8707000000000001,0.23513000000000003,0.21666999999999997,-0.11170000000000001
10000.0,0.1,18.8,0.8847000000000003,0.23920000000000002,0.22086000000000003,-0.114
10000.0,0.1,19.099999999999998,0.8986,0.24323000000000003,0.22502,-0.11619999999999998
10000.0,0.1,19.4,0.9120000000000001,0.24732000000000004,0.22923999999999997,-0.11840000000000002
10000.0,0.1,19.7,0.926,0.2517416666666667,0.23378166666666664,-0.12070000000000002
272631.0,0.1,-9.1,-0.3982,0.08984,0.08694,-0.0427
272631.0,0.1,-8.2,-0.516,0.0436,0.03994,-0.0729
272631.0,0.1,-7.9,-0.4473,0.05303,0.04989,-0.0715
272631.0,0.1,-7.6,-0.45315,0.03988,0.03562,-0.07585
272631.0,0.1,-7.3,-0.43822500000000003,0.03241,0.027462499999999997,-0.078375
272631.0,0.1,-7.0,-0.419,0.0238,0.01744,-0.0795
272631.0,0.1,-6.7,-0.3841,0.02264,0.01632,-0.0802
272631.0,0.1,-6.4,-0.3465,0.02083,0.01405,-0.0813
272631.0,0.1,-6.099999999999999,-0.3055,0.01976,0.01292,-0.0829
272631.0,0.1,-5.8,-0.2587,0.01855,0.0116,-0.0856
272631.0,0.1,-5.5,-0.22220000000000004,0.0176,0.01054,-0.0862
272631.0,0.1,-5.2,-0.1763,0.01666,0.00953,-0.0886
272631.0,0.1,-4.9,-0.1408,0.01592,0.00874,-0.0888
272631.0,0.1,-4.6,-0.1033,0.01523,0.00805,-0.0895
272631.0,0.1,-4.3,-0.0618,0.01451,0.00733,-0.0909
272631.0,0.1,-4.0,-0.0276,0.01395,0.00677,-0.0908
272631.0,0.1,-3.7,0.0069,0.01342,0.00623,-0.0908
272631.0,0.1,-3.4,0.0406,0.01288,0.00573,-0.0906
272631.0,0.1,-3.1,0.0741,0.01241,0.00529,-0.0903
272631.0,0.1,-2.7999999999999994,0.10659999999999999,0.011930000000000001,0.00491,-0.0899
272631.0,0.1,-2.5,0.1382,0.01144,0.00458,-0.0893
272631.0,0.1,-2.2,0.1687,0.01095,0.00434,-0.0886
272631.0,0.1,-1.6,0.2278,0.00995,0.00392,-0.0865
272631.0,0.1,-1.3,0.2491,0.00931,0.00384,-0.0837
272631.0,0.1,-1.0,0.2759,0.00865,0.00387,-0.0812
272631.0,0.1,-0.7,0.3612,0.0086,0.0039,-0.0911
272631.0,0.1,-0.4,0.4248,0.00871,0.00386,-0.0968
272631.0,0.1,-0.1,0.4998,0.00875,0.00376,-0.1053
272631.0,0.1,0.2,0.5382,0.00873,0.00361,-0.10630000000000002
272631.0,0.1,0.5,0.5647000000000001,0.00875,0.00354,-0.1048
272631.0,0.1,0.7999999999999999,0.5918,0.00879,0.0034600000000000004,-0.10340000000000002
272631.0,0.1,1.0999999999999999,0.6181,0.00886,0.003450000000000001,-0.1018
272631.0,0.1,1.4000000000000001,0.6448999999999999,0.008940000000000002,0.0034299999999999995,-0.1002
272631.0,0.1,1.6999999999999997,0.6718000000000001,0.009029999999999998,0.0034299999999999995,-0.0987
272631.0,0.1,2.0,0.698,0.00915,0.0034700000000000004,-0.0971
272631.0,0.1,2.3,0.7242,0.00927,0.00352,-0.0954
