Reynold,Mach,Alpha,cl,cd,cdp,cm
5000.0,0.1,15.200000000000001,0.6809,0.18153,0.15179999999999996,-0.0672
5000.0,0.1,15.5,0.6917,0.18521999999999997,0.15569999999999998,-0.0695
5000.0,0.1,15.799999999999999,0.7027,0.18894,0.15964,-0.0719
5000.0,0.1,16.099999999999998,0.7136,0.19266000000000003,0.16355,-0.0742
5000.0,0.1,16.400000000000002,0.7247000000000001,0.19641,0.16751000000000002,-0.0766
5000.0,0.1,16.7,0.7357,0.20015000000000002,0.17144,-0.079
5000.0,0.1,17.0,0.7467,0.20390999999999998,0.17539,-0.0814
5000.0,0.1,17.3,0.7579000000000001,0.2077,0.17937,-0.08389999999999999
5000.0,0.1,17.599999999999998,0.769,0.2115,0.18338,-0.0863
5000.0,0.1,17.900000000000002,0.7801,0.21531000000000003,0.18737,-0.0888
5000.0,0.1,18.2,0.7911,0.21912,0.19137,-0.0913
5000.0,0.1,18.5,0.8022999999999999,0.2229616666666667,0.1954,-0.0938
5000.0,0.1,18.8,0.8134,0.22679999999999997,0.1994,-0.0963
5000.0,0.1,19.099999999999998,0.8246000000000001,0.23069999999999996,0.20349499999999998,-0.0989
5000.0,0.1,19.400000000000002,0.8355,0.23455,0.20754000000000003,-0.1014
5000.0,0.1,19.7,1.4389857142857143,0.19700999999999996,0.17277857142857142,-0.25428571428571434
8958.0,0.1,-10.0,-0.1019,0.10766,0.08858,-0.0369
8958.0,0.1,-9.7,-0.0928,0.10477,0.08574,-0.0377
8958.0,0.1,-9.4,-0.084,0.10188000000000001,0.08289,-0.0385
8958.0,0.1,-9.1,-0.0754,0.09902,0.08007,-0.0392
8958.0,0.1,-8.5,-0.059,0.09346,0.07461,-0.0405
8958.0,0.1,-8.2,-0.0514,0.09074,0.07193,-0.0411
8958.0,0.1,-7.6,-0.0371,0.08547,0.06679,-0.042
8958.0,0.1,-7.3,-0.0793,0.08832,0.07000500000000001,-0.0307
8958.0,0.1,-7.0,-0.1039,0.08878,0.07072,-0.0243
8958.0,0.1,-6.7,-0.1168,0.0876,0.06977,-0.0208
8958.0,0.1,-6.4,-0.1285,0.08627,0.06864,-0.0177
8958.0,0.1,-6.1,-0.1353,0.08435,0.0669,-0.0157
8958.0,0.1,-5.8,-0.142,0.08239,0.06511,-0.0137
8958.0,0.1,-5.5,-0.143,0.07991,0.06276,-0.0127
8958.0,0.1,-4.9,-0.1241,0.07354,0.05649666666666667,-0.014900000000000002
8958.0,0.1,-4.3,-0.0056,0.06118,0.04346,-0.0419
8958.0,0.1,-4.0,-0.0106,0.05934,0.04176,-0.0412
8958.0,0.1,-3.7,-0.0184,0.05754,0.04011,-0.0402
8958.0,0.1,-3.4,-0.0296,0.05574,0.03847,-0.039
8958.0,0.1,-3.1,-0.0445,0.05396,0.0369,-0.0373
8958.0,0.1,-2.8,-0.0642,0.0521,0.03527,-0.0352
8958.0,0.1,-2.2,-0.1217,0.04797,0.03173,-0.0289
8958.0,0.1,-1.9,-0.1467,0.04589,0.02941,-0.0271
